Title,Authors,Keywords,Date,Abstract,Language,Citations,tokens
Noncommuting graphs of matrices over semirings,"['Dolzan D.', 'Oblak P.']","['Matrices', 'Noncommuting graph', 'Semiring']",2011,"We study diameters and girths of noncommuting graphs of semirings. For a noncommutative semiring that is either multiplicatively or additively cancellative, we find the diameter and the girth of its noncommuting graph and prove that it is Hamiltonian. Moreover, we find diameters and girths of noncommuting graphs of all nilpotent matrices over a semiring, all invertible matrices over a semiring, all noninvertible matrices over a semiring, and the full matrix semiring. In nearly all cases we prove that diameters are less than or equal to 2 and girths are less than or equal to 3, except in the case of 2×2 nilpotent matrices. All rights reserved.",en,2,"['diameter', 'girth', 'noncommuting', 'graph', 'semirings', 'noncommutative', 'semiring', 'either', 'multiplicatively', 'additively', 'cancellative', 'find', 'diameter', 'girth', 'noncommuting', 'graph', 'prove', 'hamiltonian', 'moreover', 'find', 'diameter', 'girth', 'noncommuting', 'graph', 'nilpotent', 'matrix', 'semiring', 'invertible', 'matrix', 'semiring', 'noninvertible', 'matrix', 'semiring', 'full', 'matrix', 'semiring', 'nearly', 'case', 'prove', 'diameter', 'le', 'equal', 'girth', 'le', 'equal', 'except', 'case', 'nilpotent', 'matrix', 'right', 'reserved', 'nilpotent matrix', 'nilpotent matrix', 'right reserved']"
UbiTtention: Smart & ambient notification and attention management,"['Voit A.', 'Henze N.', 'Poppinga B.', 'Gehring S.', 'Weber D.', 'Okoshi T.', 'Bohmer M.', 'Pejovic V.']","['Alerts', 'Ambient Interfaces', 'Attention', 'Notifications']",2016,"Users of digital devices are increasingly confronted with a tremendous amount of notifications that appear on multiple devices and screens in their environment. Today many users own different ubiquitous devices such as a smartphone, a tablet, a notebook and a smartwatch. If an email client is installed on every device an incoming email produces up to four notifications - one on each device. In the future, we will receive notifications from an increasing number of ubiquitous devices. Therefore, we need smart attention management for incoming notifications as well as novel ways to present and interact with notifications. One way for a less interrupting attention management could be the use of ambient representations of incoming notifications. This workshop brings together researchers and practitioners from academia and industry to explore how the flood of notifications on different computing devices and in smart environments can be managed, to avoid information overload.",en,8,"['user', 'digital', 'device', 'increasingly', 'confronted', 'tremendous', 'amount', 'notification', 'appear', 'multiple', 'device', 'screen', 'environment', 'today', 'many', 'user', 'different', 'ubiquitous', 'device', 'smartphone', 'tablet', 'notebook', 'smartwatch', 'email', 'client', 'installed', 'every', 'device', 'incoming', 'email', 'produce', 'four', 'notification', 'one', 'device', 'future', 'receive', 'notification', 'increasing', 'number', 'ubiquitous', 'device', 'therefore', 'need', 'smart', 'attention', 'management', 'incoming', 'notification', 'well', 'novel', 'way', 'present', 'interact', 'notification', 'one', 'way', 'le', 'interrupting', 'attention', 'management', 'could', 'use', 'ambient', 'representation', 'incoming', 'notification', 'workshop', 'brings', 'together', 'researcher', 'practitioner', 'academia', 'industry', 'explore', 'flood', 'notification', 'different', 'computing', 'device', 'smart', 'environment', 'managed', 'avoid', 'information', 'overload']"
Improving the evaluation of software development methodology adoption and its impact on enterprise performance,"['Vavpotic D.', 'Hovelja T.']","['Enterprise Performance', 'Evaluation Approach', 'SDM Adoption', 'Software Development Methodologies']",2012,"Although the literature studying software development methodologies (SDMs) lists several significant positive effects of the deployment of SDMs, investments into SDMs by the enterprises remain relatively limited. Strategic investments decisions, such as SDMs investments, are mostly taken with the goal of improving enterprise performance. In this paper a model for evaluation of the adoption of SDMs that focuses on the abovementioned SDMs impact on enterprise performance is proposed. The model was empirically tested in four case studies in software development small and medium enterprises (SMEs) in Slovenia. The case studies confirmed that the use of the proposed model enabled SMEs to improve SDMs related investment and adoption decisions and enabled SMEs to invest their limited resources in the most productive and competitive way. The case study experience with the proposed model suggests that its use would also bring similar benefits to larger software development enterprises.",en,11,"['although', 'studying', 'software', 'development', 'sdms', 'list', 'several', 'significant', 'positive', 'effect', 'deployment', 'sdms', 'investment', 'sdms', 'enterprise', 'remain', 'relatively', 'limited', 'strategic', 'investment', 'decision', 'sdms', 'investment', 'mostly', 'taken', 'goal', 'improving', 'enterprise', 'performance', 'model', 'evaluation', 'adoption', 'sdms', 'focus', 'abovementioned', 'sdms', 'impact', 'enterprise', 'performance', 'proposed', 'model', 'empirically', 'tested', 'four', 'case', 'software', 'development', 'small', 'medium', 'enterprise', 'smes', 'slovenia', 'case', 'confirmed', 'use', 'proposed', 'model', 'enabled', 'smes', 'improve', 'sdms', 'related', 'investment', 'adoption', 'decision', 'enabled', 'smes', 'invest', 'limited', 'resource', 'productive', 'competitive', 'way', 'case', 'experience', 'proposed', 'model', 'suggests', 'use', 'bring', 'similar', 'benefit', 'larger', 'software', 'development', 'enterprise']"
Epistasis analysis with global transcriptional phenotypes,"['Van Driessche N.', 'Demsar J.', 'Booth E.O.', 'Hill P.', 'Juvan P.', 'Zupan B.', 'Kuspa A.', 'Shaulsky G.']",[],2005,"Classical epistasis analysis can determine the order of function of genes in pathways using morphological, biochemical and other phenotypes. It requires knowledge of the pathway's phenotypic output and a variety of experimental expertise and so is unsuitable for genome-scale analysis. Here we used microarray profiles of mutants as phenotypes for epistasis analysis. Considering genes that regulate activity of protein kinase A in Dictyostelium, we identified known and unknown epistatic relationships and reconstructed a genetic network with microarray phenotypes alone. This work shows that microarray data can provide a uniform, quantitative tool for large-scale genetic network analysis.",en,84,"['classical', 'epistasis', 'determine', 'order', 'function', 'gene', 'pathway', 'using', 'morphological', 'biochemical', 'phenotype', 'requires', 'knowledge', 'pathway', 'phenotypic', 'output', 'variety', 'experimental', 'expertise', 'unsuitable', 'genome-scale', 'used', 'microarray', 'profile', 'mutant', 'phenotype', 'epistasis', 'considering', 'gene', 'regulate', 'activity', 'protein', 'kinase', 'dictyostelium', 'identified', 'known', 'unknown', 'epistatic', 'relationship', 'reconstructed', 'genetic', 'network', 'microarray', 'phenotype', 'alone', 'work', 'show', 'microarray', 'data', 'provide', 'uniform', 'quantitative', 'tool', 'large-scale', 'genetic', 'network']"
A generalisation of model selection criteria,"['Kverh B.', 'Leonardis A.']","['Minimum description length', 'Model selection', 'Parametric models', 'Range images', 'Reverse engineering', 'Segmentation']",2004,"In this article we generalise some of the existing model selection criteria used in statistics and computer vision. Model selection criteria are mostly used to decide which model is more appropriate for explaining a specific data set. We adapt these criteria in a way that they can be used for the evaluation of models fitted to different data sets and for the evaluation of sets of models. We found this adaption especially useful in situations where we have a set of models with domains that may overlap and where we need to find an optimal subset of models for explaining the whole data set. Adapted model selection criteria were then succesfully used in range image segmentation application (reverse engineering), based on the recover-and-select paradigm.",en,4,"['article', 'generalise', 'existing', 'model', 'selection', 'criterion', 'used', 'statistic', 'computer', 'vision', 'model', 'selection', 'criterion', 'mostly', 'used', 'decide', 'model', 'appropriate', 'explaining', 'specific', 'data', 'set', 'adapt', 'criterion', 'way', 'used', 'evaluation', 'model', 'fitted', 'different', 'data', 'set', 'evaluation', 'set', 'model', 'found', 'adaption', 'especially', 'useful', 'situation', 'set', 'model', 'domain', 'may', 'overlap', 'need', 'find', 'optimal', 'subset', 'model', 'explaining', 'whole', 'data', 'set', 'adapted', 'model', 'selection', 'criterion', 'succesfully', 'used', 'range', 'image', 'segmentation', 'application', 'reverse', 'engineering', 'based', 'recover-and-select', 'paradigm']"
LMS in the pre-school education program,"['Kljun M.', 'Brodnik A.', 'Starcic A.I.']",[],2006,Traditional learning environments are today placed face to face with Information and Communication Technologies (ICT) which gradually ambush visible place in education. For this reason it is important for both students and tutors to be capable to use new methods of supplying and receiving the knowledge. One of possible methods are online Learning Management Systems (LMS) which incorporate principles of social constructionism which is based on the idea that we all better acquire new knowledge within a social process when communicating facts to others and base new knowledge on already known facts. We introduced such online learning environment to a first year students at the Faculty of Education with no previous knowledge or little knowledge of ICT usage. We tried to find out how much time a future preschool teachers need to gain satisfying level of digital literacy and competences for learning and teaching skills with Information and Educational Technology (IET).,en,1,"['traditional', 'learning', 'environment', 'today', 'placed', 'face', 'face', 'information', 'communication', 'technology', 'ict', 'gradually', 'ambush', 'visible', 'place', 'education', 'reason', 'important', 'student', 'tutor', 'capable', 'use', 'new', 'supplying', 'receiving', 'knowledge', 'one', 'possible', 'online', 'learning', 'management', 'system', 'lm', 'incorporate', 'principle', 'social', 'constructionism', 'based', 'idea', 'better', 'acquire', 'new', 'knowledge', 'social', 'process', 'communicating', 'fact', 'others', 'base', 'new', 'knowledge', 'already', 'known', 'fact', 'introduced', 'online', 'learning', 'environment', 'first', 'year', 'student', 'faculty', 'education', 'previous', 'knowledge', 'little', 'knowledge', 'ict', 'usage', 'tried', 'find', 'much', 'time', 'future', 'preschool', 'teacher', 'need', 'gain', 'satisfying', 'level', 'digital', 'literacy', 'competence', 'learning', 'teaching', 'skill', 'information', 'educational', 'technology', 'iet']"
Capturing the mood: Evaluation of the moodstripe and moodgraph interfaces,"['Pesek M.', 'Godec P.', 'Poredos M.', 'Strle G.', 'Guna J.', 'Stojmenova E.', 'Pogacnik M.', 'Marolt M.']","['color perception', 'mood estimation', 'music information retrieval', 'questionnaire evaluation']",2014,"This study presents an evaluation of two interfaces for gathering user feedback in online surveys. We evaluated the intuitiveness, usability and time complexity of the proposed interfaces in comparison to the more standard approaches. Over 900 users first participated in an online survey exploring the influence of mood on their emotional responses to music and colors. We included several new interfaces in this survey, so after it was completed, users were asked to complete a second survey where they evaluated various aspects of the interfaces. Our analysis shows reduced time complexity and increased intuitiveness of the new interfaces, compared to standard approaches, resulting in lower mental difficulty and frustration of participants.",en,3,"['present', 'evaluation', 'two', 'interface', 'gathering', 'user', 'feedback', 'online', 'survey', 'evaluated', 'intuitiveness', 'usability', 'time', 'complexity', 'proposed', 'interface', 'comparison', 'standard', 'approach', 'user', 'first', 'participated', 'online', 'survey', 'exploring', 'influence', 'mood', 'emotional', 'response', 'music', 'color', 'included', 'several', 'new', 'interface', 'survey', 'completed', 'user', 'asked', 'complete', 'second', 'survey', 'evaluated', 'various', 'aspect', 'interface', 'show', 'reduced', 'time', 'complexity', 'increased', 'intuitiveness', 'new', 'interface', 'compared', 'standard', 'approach', 'resulting', 'lower', 'mental', 'difficulty', 'frustration', 'participant']"
Robust localization using eigenspace of spinning-images,"['Jogan M.', 'Leonardis A.']",[],2000,"Under in-plane rotations of a panoramic camera, the information content of a panoramic image is, in general, preserved. However, different representations that can be derived have important implications on further processing, e.g. for appearance-based localisation. We discuss several approaches based on different representations that have been proposed and evaluate them from different points-of-view, in particular, we argue that most of them are not suitable for robust localization under partially occluded views. In this paper we propose a representation-eigenspace of spinning-images-which enables a straightforward application of the robust estimation of eigenimage coefficients which is directly related to the localization.",en,43,"['in-plane', 'rotation', 'panoramic', 'camera', 'information', 'content', 'panoramic', 'image', 'general', 'preserved', 'however', 'different', 'representation', 'derived', 'important', 'implication', 'processing', 'appearance-based', 'localisation', 'discus', 'several', 'approach', 'based', 'different', 'representation', 'proposed', 'evaluate', 'different', 'points-of-view', 'particular', 'argue', 'suitable', 'robust', 'localization', 'partially', 'occluded', 'view', 'propose', 'representation-eigenspace', 'spinning-images-which', 'enables', 'straightforward', 'application', 'robust', 'estimation', 'eigenimage', 'coefficient', 'directly', 'related', 'localization']"
Employing artificial neural networks and regression in analysis on knowledge about sweet potato (Ipomoea batatas L.) in Slovenia,"['Kunstelj N.', 'Znidarcic D.', 'Ster B.']","['Artificial neural networks', 'Questionnaire', 'Regression', 'Slovenia', 'Sweet potato']",2013,"This article analyses factors affecting the reputation of sweet potato (Ipomoea batatas L.) among people in Slovenia. The inquiry, which included 7 general questions and 19 questions in particular about sweet potato, was completed by 712 respondents. The aim was to find out which factors impact the knowledge about sweet potato, the relations between answers to various questions regarding sweet potato features and willingness of people to know, to buy and to grow it. The methods applied were the Radial basis function neural networks and multiple linear and logistic regressions. It was established that persons with agricultural education are experts and know sweet potato best. Persons from large families are also familiar with it, but to a smaller degree. The answers to 8 questions about sweet potato features were very consistent, since we found out that every answer can be predicted with 98% probability (on the basis of the answers to the other 7 questions). Significant covariates in regression show that the most likely persons to know/buy/grow sweet potato are the people with agricultural education. Older persons are more interested in curative features of sweet potato, while younger and better educated believe in stronger nutritional values. Female respondents are more likely to grow sweet potato than men. Net income also influences willingness to buy sweet potato, because people living with children are more likely to be willing to attend free lectures about sweet potato.",en,5,"['article', 'factor', 'affecting', 'reputation', 'sweet', 'potato', 'ipomoea', 'batatas', 'among', 'people', 'slovenia', 'inquiry', 'included', 'general', 'question', 'question', 'particular', 'sweet', 'potato', 'completed', 'respondent', 'aim', 'find', 'factor', 'impact', 'knowledge', 'sweet', 'potato', 'relation', 'answer', 'various', 'question', 'regarding', 'sweet', 'potato', 'feature', 'willingness', 'people', 'know', 'buy', 'grow', 'applied', 'radial', 'basis', 'function', 'neural', 'network', 'multiple', 'linear', 'logistic', 'regression', 'established', 'person', 'agricultural', 'education', 'expert', 'know', 'sweet', 'potato', 'best', 'person', 'large', 'family', 'familiar', 'smaller', 'degree', 'answer', 'question', 'sweet', 'potato', 'feature', 'consistent', 'since', 'found', 'every', 'answer', 'predicted', 'probability', 'basis', 'answer', 'question', 'significant', 'covariates', 'regression', 'show', 'likely', 'person', 'know', 'buy', 'grow', 'sweet', 'potato', 'people', 'agricultural', 'education', 'older', 'person', 'interested', 'curative', 'feature', 'sweet', 'potato', 'younger', 'better', 'educated', 'believe', 'stronger', 'nutritional', 'value', 'female', 'respondent', 'likely', 'grow', 'sweet', 'potato', 'men', 'net', 'income', 'influence', 'willingness', 'buy', 'sweet', 'potato', 'people', 'living', 'child', 'likely', 'willing', 'attend', 'free', 'lecture', 'sweet', 'potato', 'sweet potato', 'sweet potato', 'sweet potato', 'sweet potato', 'logistic regression', 'sweet potato', 'answer question', 'sweet potato', 'answer question', 'sweet potato', 'sweet potato', 'sweet potato', 'sweet potato', 'sweet potato']"
Information extraction from receipts using machine learning,['Karlovcec M.'],"['Classification', 'Dataset', 'Information extraction', 'Labeling', 'Machine learning']",2011,Automated information extraction from receipts can help us to easier organize our expenses. Approach to using Machine learning algorithms for information extraction is introduced. Datasets are generated using the developed application which enables labeling of textual documents. Results of applying the Machine learning algorithms on the datasets show usefulness of the approach.,en,0,"['automated', 'information', 'extraction', 'receipt', 'help', 'easier', 'organize', 'expense', 'approach', 'using', 'machine', 'learning', 'algorithm', 'information', 'extraction', 'introduced', 'datasets', 'generated', 'using', 'developed', 'application', 'enables', 'labeling', 'textual', 'document', 'applying', 'machine', 'learning', 'algorithm', 'datasets', 'show', 'usefulness', 'approach']"
Improving speech recognition robustness using non-standard windows,"['Rozman R.', 'Kodek D.M.']","['Robustness', 'Speech processing', 'Speech recognition', 'Windowing']",2003,"Windowing problem of the short-time frequency analysis in Speech recognition systems (SRS) is considered. Design possibilities for different nonstandard window sequences are presented. Traditional ""digital filtering"" approach to the design of finite window sequences with linear and nonlinear phase response is examined. Since human hearing is relatively insensitive to phase distortions of speech signal, some other ideas of alternative windows with nonlinear phase response are also investigated. Two most promising design methods for nonlinear phase windows are discussed. Practical performance comparison of such windows with the Hamming window on two real SRS is presented. They show that the nonstandard window sequences can contribute to greater SRS robustness. An additional research on non-standard windows and parametrization process as a whole is suggested.",en,5,"['windowing', 'problem', 'short-time', 'frequency', 'speech', 'recognition', 'system', 'sr', 'considered', 'design', 'possibility', 'different', 'nonstandard', 'window', 'sequence', 'presented', 'traditional', 'digital', 'filtering', 'approach', 'design', 'finite', 'window', 'sequence', 'linear', 'nonlinear', 'phase', 'response', 'examined', 'since', 'human', 'hearing', 'relatively', 'insensitive', 'phase', 'distortion', 'speech', 'signal', 'idea', 'alternative', 'window', 'nonlinear', 'phase', 'response', 'investigated', 'two', 'promising', 'design', 'nonlinear', 'phase', 'window', 'discussed', 'practical', 'performance', 'comparison', 'window', 'hamming', 'window', 'two', 'real', 'sr', 'presented', 'show', 'nonstandard', 'window', 'sequence', 'contribute', 'greater', 'sr', 'robustness', 'additional', 'non-standard', 'window', 'parametrization', 'process', 'whole', 'suggested']"
Feasibility of spirography features for objective assessment of motor function in Parkinson's disease,"['Sadikov A.', 'Groznik V.', 'Mozina M.', 'Zabkar J.', 'Nyholm D.', 'Memedi M.', 'Bratko I.', 'Georgiev D.']","['Movement disorder', 'Objective monitoring', ""Parkinson's disease"", 'Spirography', 'Spirography features', 'Visualisation']",2017,"Objective Parkinson's disease (PD) is currently incurable, however proper treatment can ease the symptoms and significantly improve the quality of life of patients. Since PD is a chronic disease, its efficient monitoring and management is very important. The objective of this paper was to investigate the feasibility of using the features and methodology of a spirography application, originally designed to detect early Parkinson's disease (PD) motoric symptoms, for automatically assessing motor symptoms of advanced PD patients experiencing motor fluctuations. More specifically, the aim was to objectively assess motor symptoms related to bradykinesias (slowness of movements occurring as a result of under-medication) and dyskinesias (involuntary movements occurring as a result of over-medication). Materials and methods This work combined spirography data and clinical assessments from a longitudinal clinical study in Sweden with the features and pre-processing methodology of a Slovenian spirography application. The study involved 65 advanced PD patients and over 30,000 spiral-drawing measurements over the course of three years. Machine learning methods were used to learn to predict the “cause” (bradykinesia or dyskinesia) of upper limb motor dysfunctions as assessed by a clinician who observed animated spirals in a web interface. The classification model was also tested for comprehensibility. For this purpose a visualisation technique was used to present visual clues to clinicians as to which parts of the spiral drawing (or its animation) are important for the given classification. Results Using the machine learning methods with feature descriptions and pre-processing from the Slovenian application resulted in 86% classification accuracy and over 0.90 AUC. The clinicians also rated the computer's visual explanations of its classifications as at least meaningful if not necessarily helpful in over 90% of the cases. Conclusions The relatively high classification accuracy and AUC demonstrates the usefulness of this approach for objective monitoring of PD patients. The positive evaluation of computer's explanations suggests the potential use of this methodology in a decision support setting.",en,5,"['objective', 'parkinson', 'disease', 'pd', 'currently', 'incurable', 'however', 'proper', 'treatment', 'ease', 'symptom', 'significantly', 'improve', 'quality', 'life', 'patient', 'since', 'pd', 'chronic', 'disease', 'efficient', 'monitoring', 'management', 'important', 'objective', 'investigate', 'feasibility', 'using', 'feature', 'spirography', 'application', 'originally', 'designed', 'detect', 'early', 'parkinson', 'disease', 'pd', 'motoric', 'symptom', 'automatically', 'assessing', 'motor', 'symptom', 'advanced', 'pd', 'patient', 'experiencing', 'motor', 'fluctuation', 'specifically', 'aim', 'objectively', 'ass', 'motor', 'symptom', 'related', 'bradykinesias', 'slowness', 'movement', 'occurring', 'under-medication', 'dyskinesia', 'involuntary', 'movement', 'occurring', 'over-medication', 'material', 'work', 'combined', 'spirography', 'data', 'clinical', 'assessment', 'longitudinal', 'clinical', 'sweden', 'feature', 'pre-processing', 'slovenian', 'spirography', 'application', 'involved', 'advanced', 'pd', 'patient', 'spiral-drawing', 'measurement', 'course', 'three', 'year', 'machine', 'learning', 'used', 'learn', 'predict', 'cause', 'bradykinesia', 'dyskinesia', 'upper', 'limb', 'motor', 'dysfunction', 'assessed', 'clinician', 'observed', 'animated', 'spiral', 'web', 'interface', 'classification', 'model', 'tested', 'comprehensibility', 'visualisation', 'technique', 'used', 'present', 'visual', 'clue', 'clinician', 'part', 'spiral', 'drawing', 'animation', 'important', 'given', 'classification', 'using', 'machine', 'learning', 'feature', 'description', 'pre-processing', 'slovenian', 'application', 'resulted', 'classification', 'accuracy', 'auc', 'clinician', 'rated', 'computer', 'visual', 'explanation', 'classification', 'least', 'meaningful', 'necessarily', 'helpful', 'case', 'conclusion', 'relatively', 'high', 'classification', 'accuracy', 'auc', 'demonstrates', 'usefulness', 'approach', 'objective', 'monitoring', 'pd', 'patient', 'positive', 'evaluation', 'computer', 'explanation', 'suggests', 'potential', 'use', 'decision', 'support', 'setting', 'parkinson disease', 'parkinson disease']"
Maximum exploratory equivalence in trees,"['Furst L.', 'Ibej U.C.', 'Mihelic J.']",[],2015,"Many practical problems are modeled with networks and graphs. Their exploration is of significant importance, and several graph-exploration algorithms already exist. In this paper, we focus on a type of vertex equivalence, called exploratory equivalence, which has a great potential to speed up such algorithms. It is an equivalence based on graph automorphisms and can, for example, help us in solving the subgraph isomorphism problem, which is a well-known NP-hard problem. In particular, if a given pattern graph has nontrivial automorphisms, then each of its nontrivial exploratory equivalent classes gives rise to a set of constraints to prune the search space of solutions. In the paper, we define the maximum exploratory equivalence problem. We show that the defined problem is at least as hard the graph isomorphism problem. Additionally, we present a polynomial-time algorithm for solving the problem when the input is restricted to tree graphs. Furthermore, we show that for trees, a maximum exploratory equivalent partition leads to a globally optimal set of subgraph isomorphism constraints, whereas this is not necessarily the case for general graphs.",en,1,"['many', 'practical', 'problem', 'modeled', 'network', 'graph', 'exploration', 'significant', 'importance', 'several', 'graph-exploration', 'algorithm', 'already', 'exist', 'focus', 'type', 'vertex', 'equivalence', 'called', 'exploratory', 'equivalence', 'great', 'potential', 'speed', 'algorithm', 'equivalence', 'based', 'graph', 'automorphisms', 'example', 'help', 'solving', 'subgraph', 'isomorphism', 'problem', 'well-known', 'np-hard', 'problem', 'particular', 'given', 'pattern', 'graph', 'nontrivial', 'automorphisms', 'nontrivial', 'exploratory', 'equivalent', 'class', 'give', 'rise', 'set', 'constraint', 'prune', 'search', 'space', 'solution', 'define', 'maximum', 'exploratory', 'equivalence', 'problem', 'show', 'defined', 'problem', 'least', 'hard', 'graph', 'isomorphism', 'problem', 'additionally', 'present', 'polynomial-time', 'algorithm', 'solving', 'problem', 'input', 'restricted', 'tree', 'graph', 'furthermore', 'show', 'tree', 'maximum', 'exploratory', 'equivalent', 'partition', 'lead', 'globally', 'optimal', 'set', 'subgraph', 'isomorphism', 'constraint', 'necessarily', 'case', 'general', 'graph']"
Towards complex event aware services as part of SOA,"['Potocnik M.', 'Juric M.B.']","['Complex event processing', 'event driven architecture', 'service oriented architecture', 'web services']",2014,"Complex Event Processing (CEP) has so far been implemented in technology and vendor-specific manner. Introducing CEP concepts to the Service Oriented Architecture (SOA) provides an opportunity to enhance the capabilities of SOA. We define a model that supports the CEP usage in SOA where the actual pattern recognition can be done by any external CEP Engine. We define a new service type - a Complex Event Aware (CEA) service that automatically reacts to complex events specified in its interface. The proposed model includes a CEP Manager that provides centralized management of complex events and, through its pluggable adapters, communicates with CEA Services and CEP Engines. It includes a CEP Registry and a CEP Repository enabling versioning and reuse of complex event types, and a CEP Dispatcher providing publish/subscribe communication framework. We design a generic XML schema for abstract complex event type definition and propose new extensions for Service Component Architecture (SCA) and Web Services Description Language (WSDL) specifications, which enable definitions of complex event types and complex event sinks in the CEA Service interface. As a proof-of-concept, we develop a prototype implementation for the largest national telecommunication provider and in the real-world scenario show the advantages of the proposed model.",en,10,"['complex', 'event', 'processing', 'cep', 'far', 'implemented', 'technology', 'vendor-specific', 'manner', 'introducing', 'cep', 'concept', 'service', 'oriented', 'architecture', 'soa', 'provides', 'opportunity', 'enhance', 'capability', 'soa', 'define', 'model', 'support', 'cep', 'usage', 'soa', 'actual', 'pattern', 'recognition', 'done', 'external', 'cep', 'engine', 'define', 'new', 'service', 'type', 'complex', 'event', 'aware', 'cea', 'service', 'automatically', 'reacts', 'complex', 'event', 'specified', 'interface', 'proposed', 'model', 'includes', 'cep', 'manager', 'provides', 'centralized', 'management', 'complex', 'event', 'pluggable', 'adapter', 'communicates', 'cea', 'service', 'cep', 'engine', 'includes', 'cep', 'registry', 'cep', 'repository', 'enabling', 'versioning', 'reuse', 'complex', 'event', 'type', 'cep', 'dispatcher', 'providing', 'publish', 'subscribe', 'communication', 'framework', 'design', 'generic', 'xml', 'schema', 'abstract', 'complex', 'event', 'type', 'definition', 'propose', 'new', 'extension', 'service', 'component', 'architecture', 'sca', 'web', 'service', 'description', 'language', 'wsdl', 'specification', 'enable', 'definition', 'complex', 'event', 'type', 'complex', 'event', 'sink', 'cea', 'service', 'interface', 'proof-of-concept', 'develop', 'prototype', 'implementation', 'largest', 'national', 'telecommunication', 'provider', 'real-world', 'scenario', 'show', 'advantage', 'proposed', 'model']"
Extremal matrix centralizers,"['Dolinar G.', 'Guterman A.', 'Kuzma B.', 'Oblak P.']","['Centralizers', 'Matrix algebra']",2013,Matrices with maximal or minimal centralizers are classified over fields with sufficiently large orders. All rights reserved.,en,13,"['matrix', 'maximal', 'minimal', 'centralizers', 'classified', 'field', 'sufficiently', 'large', 'order', 'right', 'reserved', 'right reserved']"
Internet based art installations,['Solina F.'],[],2000,"An overview of some internet-related computer applications which were used in several art presentations and art installations on the Internet is given. The technical solutions range from the design of typical hypertext contents combining text and images, creation of virtual environments, sending of life video images over the Internet and controlling remote robotic devices over the Internet. These technical solutions were successfully used for presentations of classical fine arts on the Internet as well as for creation of contemporary art installations.",en,6,"['overview', 'internet-related', 'computer', 'application', 'used', 'several', 'art', 'presentation', 'art', 'installation', 'internet', 'given', 'technical', 'solution', 'range', 'design', 'typical', 'hypertext', 'content', 'combining', 'text', 'image', 'creation', 'virtual', 'environment', 'sending', 'life', 'video', 'image', 'internet', 'controlling', 'remote', 'robotic', 'device', 'internet', 'technical', 'solution', 'successfully', 'used', 'presentation', 'classical', 'fine', 'art', 'internet', 'well', 'creation', 'contemporary', 'art', 'installation', 'art installation', 'art installation']"
Individual prediction reliability estimates in classification and regression,"['Pevec D.', 'Bosnic Z.', 'Kononenko I.']",[],2012,"Current machine learning algorithms perform well in many problem domains, but in risk-sensitive decision making - for example, in medicine and finance - experts do not rely on common evaluation methods that provide overall assessments of models because such techniques do not provide any information about single predictions. This chapter summarizes the research areas that have motivated the development of various approaches to individual prediction reliability. Based on these motivations, the authors describe six approaches to reliability estimation: inverse transduction, local sensitivity analysis, bagging variance, local cross-validation, local error modelling, and density-based estimation. Empirical evaluation of the benchmark datasets provides promising results, especially for use with decision and regression trees. The testing results also reveal that the reliability estimators exhibit different performance levels when used with different models and in different domains. The authors show the usefulness of individual prediction reliability estimates in attempts to predict breast cancer recurrence. In this context, estimating prediction reliability for individual predictions is of crucial importance for physicians seeking to validate predictions derived using classification and regression models.",en,1,"['current', 'machine', 'learning', 'algorithm', 'perform', 'well', 'many', 'problem', 'domain', 'risk-sensitive', 'decision', 'making', 'example', 'medicine', 'finance', 'expert', 'rely', 'common', 'evaluation', 'provide', 'overall', 'assessment', 'model', 'technique', 'provide', 'information', 'single', 'prediction', 'chapter', 'summarizes', 'area', 'motivated', 'development', 'various', 'approach', 'individual', 'prediction', 'reliability', 'based', 'motivation', 'author', 'describe', 'six', 'approach', 'reliability', 'estimation', 'inverse', 'transduction', 'local', 'sensitivity', 'bagging', 'variance', 'local', 'cross-validation', 'local', 'error', 'modelling', 'density-based', 'estimation', 'empirical', 'evaluation', 'benchmark', 'datasets', 'provides', 'promising', 'especially', 'use', 'decision', 'regression', 'tree', 'testing', 'reveal', 'reliability', 'estimator', 'exhibit', 'different', 'performance', 'level', 'used', 'different', 'model', 'different', 'domain', 'author', 'show', 'usefulness', 'individual', 'prediction', 'reliability', 'estimate', 'attempt', 'predict', 'breast', 'cancer', 'recurrence', 'context', 'estimating', 'prediction', 'reliability', 'individual', 'prediction', 'crucial', 'importance', 'physician', 'seeking', 'validate', 'prediction', 'derived', 'using', 'classification', 'regression', 'model', 'breast cancer']"
